fuel_log_id,vehicle_id,fuel_date,liters,fuel_cost,odometer_reading
1,1,2026-03-10,47.97,11914.29,369697
2,2,2024-11-26,86.54,6914.62,99069
3,15,2026-02-07,14.04,10351.38,368801
4,6,2024-07-18,47.74,4929.05,368498
5,6,2024-10-30,104.96,3677.29,294763
6,6,2025-03-31,28.05,1544.26,141370
7,2,2025-05-16,62.46,6952.7,241895
8,6,2025-06-30,11.6,8713.68,249069
9,6,2025-03-12,32.71,4402.17,353258
10,12,2026-04-22,43.81,11374.68,80690
11,13,2025-05-30,91.56,9271.92,83124
12,7,2024-08-29,25.52,5890.74,303583
13,8,2025-07-16,114.51,8910.31,84270
14,2,2024-09-26,85.93,1660.04,178617
15,14,2024-07-04,110.11,11556.09,317004
16,6,2025-03-11,32.25,4161.82,321358
17,6,2026-04-07,95.35,4038.6,217226
18,1,2024-12-04,46.05,3020.81,157632
19,14,2025-07-11,82.73,3373.53,161895
20,7,2025-07-22,72.68,9631.57,359785
21,7,2025-06-29,43.51,1632.42,282377
22,3,2024-06-05,31.43,1228.56,334952
23,2,2025-02-10,113.65,2441.93,119130
24,10,2024-11-11,87.48,5512.3,301331
25,7,2024-12-19,67.79,1900.86,396067
26,15,2025-10-16,64.67,7963.28,123475
27,4,2025-02-19,84.56,6124.67,259502
28,3,2025-11-10,26.96,8694.96,334766
29,6,2026-03-31,10.72,2283.64,313348
30,8,2026-03-12,15.79,10545.74,188778
31,1,2025-07-07,100.68,7985.61,320692
32,11,2024-08-05,92.18,10049.63,260763
33,13,2026-02-09,16.63,4933.73,275305
34,13,2025-09-02,68.52,2164.38,213164
35,7,2024-07-20,113.05,3274.06,213439
36,1,2025-04-15,94.66,4384.43,101078
37,10,2024-11-17,11.24,9324.6,399889
38,6,2025-09-23,62.59,5033.33,126162
39,12,2026-01-22,85.4,6405.44,223201
40,10,2026-04-09,76.84,4795.22,103715
41,14,2025-10-17,47.84,9815.58,349122
42,2,2024-09-28,72.98,10395.92,371762
43,8,2025-12-08,69.11,11076.38,299688
44,6,2024-11-11,31.33,10875.23,253914
45,1,2025-02-14,52.76,7983.14,348040
46,7,2025-10-29,30.8,8570.95,178812
47,9,2024-10-31,41.79,9539.29,239370
48,4,2024-12-03,102.47,6583.37,353855
49,6,2024-12-17,77.69,10949.34,310896
50,2,2025-12-30,103.8,8703.78,42741
51,3,2025-12-04,89.56,11142.7,180571
52,14,2026-04-09,73.0,6706.48,182586
53,7,2026-05-15,50.58,9629.96,45825
54,1,2025-08-05,64.79,7851.4,238857
55,12,2026-04-19,37.61,2807.75,172786
56,3,2025-01-04,72.46,11092.31,276114
57,4,2024-12-08,84.0,3363.48,162285
58,13,2024-05-24,40.81,1785.72,342414
59,2,2024-07-27,111.59,4303.66,372298
60,14,2025-03-12,80.86,3460.17,69552
61,11,2026-03-16,40.3,1264.5,33318
62,1,2026-04-12,35.19,5765.44,331641
