payment_id,trip_id,payment_date,amount_paid,payment_method
1,2803,2026-03-04,33160,UPI
2,685,2024-10-17,64164,Bank Transfer
3,8907,2025-06-15,2772,Card
4,856,2024-12-13,24008,Card
5,3319,2025-07-03,14655,UPI
6,4339,2025-08-15,45096,Cash
7,9172,2024-10-05,39179,UPI
8,9873,2025-04-20,10140,Card
9,3066,2026-05-20,16382,Card
10,5760,2024-06-11,49861,Card
11,9931,2024-10-27,24259,UPI
12,4240,2024-07-26,5103,UPI
13,693,2024-10-01,40024,Card
14,4010,2026-03-22,40834,Cash
15,7097,2025-01-03,7843,Bank Transfer
16,895,2026-05-06,47137,Card
17,9423,2025-10-01,11661,UPI
18,7535,2025-11-30,32699,Cash
19,5245,2025-08-03,7961,Card
20,5912,2026-02-04,14800,Cash
21,6867,2025-10-04,55754,Cash
22,3818,2025-01-09,36556,UPI
23,8096,2025-04-26,61893,Bank Transfer
24,1768,2025-02-22,37626,UPI
25,9382,2025-08-30,68682,Card
26,2727,2025-01-09,51079,Card
27,371,2025-10-14,12049,Cash
28,8813,2026-04-24,47807,UPI
29,2623,2024-08-06,32037,Card
30,945,2025-12-23,33691,Bank Transfer
31,9942,2025-06-07,40926,UPI
32,1718,2025-09-11,24524,Bank Transfer
33,9848,2024-08-06,31579,Card
34,6879,2026-03-28,39037,Cash
35,7672,2026-03-04,27290,Bank Transfer
36,9179,2025-03-21,14826,Bank Transfer
37,5316,2024-08-16,9655,UPI
38,8908,2025-01-21,53420,Card
39,5437,2025-04-15,54657,UPI
40,696,2024-05-25,30566,Bank Transfer
41,4153,2025-07-28,47708,Card
42,2058,2025-02-13,59153,Bank Transfer
43,2242,2025-10-22,47751,Cash
44,7887,2024-11-20,47599,Bank Transfer
45,4059,2026-02-18,5848,Cash
46,7557,2025-04-01,47548,Bank Transfer
47,3134,2025-06-01,35148,Bank Transfer
48,4812,2025-12-01,53527,UPI
49,6772,2026-05-18,18893,Cash
50,9422,2025-08-29,32782,UPI
51,7316,2026-02-21,31317,UPI
52,347,2025-06-14,21305,UPI
53,4774,2025-06-23,40338,UPI
54,7169,2025-11-27,39781,Cash
55,8592,2025-10-05,50739,Card
56,5984,2024-10-19,18516,Cash
57,6231,2025-01-15,16157,Bank Transfer
58,4248,2025-06-20,17113,Card
59,4257,2025-09-14,37838,Bank Transfer
60,1390,2025-08-16,60165,UPI
61,7957,2026-04-05,41619,Bank Transfer
62,6289,2024-12-24,62781,UPI
63,196,2024-09-05,12230,UPI
64,9682,2024-10-11,13251,Bank Transfer
65,4025,2024-05-30,14837,Bank Transfer
66,5138,2024-05-26,40240,Card
67,3686,2025-03-01,16195,UPI
68,3243,2025-11-28,32544,UPI
69,6141,2024-12-02,63433,Cash
70,5336,2025-04-16,18408,UPI
71,2744,2025-09-04,54224,UPI
72,460,2025-12-14,67753,Cash
73,653,2026-04-07,38331,Cash
74,6789,2025-12-23,38651,Card
75,7682,2024-05-21,54733,Bank Transfer
76,5459,2026-02-19,56870,Card
77,7522,2025-02-26,48353,UPI
78,4227,2024-10-18,18551,Card
79,288,2024-10-22,9667,Cash
80,1874,2024-09-12,21330,Bank Transfer
81,4836,2025-05-16,7683,Bank Transfer
82,7013,2025-08-12,15125,UPI
83,4488,2024-11-23,46676,Cash
84,6382,2024-05-31,8740,UPI
85,92,2025-02-03,62461,UPI
86,7669,2025-10-03,60619,Cash
87,6774,2025-06-12,38786,Bank Transfer
88,3993,2025-07-07,20821,Card
89,543,2024-09-26,21865,UPI
90,9114,2025-01-31,51848,UPI
91,7197,2024-12-04,56902,UPI
92,2419,2025-03-07,26880,Cash
93,7664,2025-05-16,61815,Card
94,4108,2024-12-06,5990,Cash
