expense_id,trip_id,fuel_cost,toll_cost,food_expense,parking_cost,misc_expense
1,1,3220.03,1584,1758,1198,1337
2,2,4271.33,364,1856,1170,1365
3,3,8976.49,2459,1212,1187,1445
4,4,2238.19,1438,412,379,22
5,5,23470.44,2136,603,731,896
6,6,9309.58,773,688,665,819
7,7,19653.61,1386,1657,671,468
8,8,13304.54,700,777,349,125
9,9,2864.73,1504,1061,29,904
10,10,3269.47,1219,1096,110,1363
11,11,17683.29,976,1961,1141,117
12,12,2518.07,594,626,634,542
13,13,3512.27,1327,1225,365,137
14,14,6352.14,1765,623,393,1284
15,15,18793.82,1943,989,679,362
16,16,16918.97,316,1177,832,1181
17,17,5292.84,430,638,997,247
18,18,2265.68,1461,1862,26,358
19,19,14286.0,1124,1593,210,537
20,20,3729.97,1438,1202,668,120
21,21,5382.79,2434,1465,395,54
22,22,5539.93,1310,1452,1039,1382
23,23,4614.06,690,614,1028,933
24,24,1500.02,1871,727,270,1375
25,25,14773.83,1981,463,1178,1243
26,26,814.84,2111,1455,808,465
27,27,9609.79,141,399,113,1156
28,28,4064.06,1512,201,433,529
29,29,13287.22,1028,1996,806,1376
30,30,10970.22,1172,1367,660,1395
31,31,6387.41,490,1177,732,1003
32,32,5182.94,1434,856,337,396
33,33,7665.44,191,1586,179,714
34,34,3380.72,1898,1223,1133,825
35,35,1024.33,2164,1547,1119,964
36,36,4656.19,2281,1107,270,156
37,37,1809.71,2283,1025,911,267
38,38,3876.77,2196,1984,586,1386
39,39,1597.52,2310,1744,607,28
40,40,3647.44,1136,1144,356,943
41,41,4019.59,1384,596,1118,534
42,42,5073.54,1647,208,959,1177
43,43,10965.88,1055,1877,238,508
44,44,9517.61,2005,1876,734,1382
45,45,9308.35,2036,1747,72,792
46,46,1565.47,1938,1748,618,928
47,47,7170.2,2308,337,103,676
48,48,6318.83,1597,1907,673,609
49,49,4807.01,1373,1651,52,364
50,50,1882.77,2185,948,504,133
51,51,802.32,596,1029,417,983
52,52,17858.28,970,922,41,899
53,53,572.06,1008,680,732,652
54,54,11316.94,2189,533,465,665
55,55,10927.78,286,1217,234,594
56,56,3115.43,274,767,73,251
57,57,1509.39,510,1561,997,479
58,58,2739.15,2466,1284,691,1324
59,59,1517.13,1131,1543,155,937
60,60,9219.04,1857,698,897,706
61,61,955.01,226,1195,132,748
62,62,3503.22,1835,293,42,1449
63,63,1684.76,366,521,1086,703
64,64,7727.5,1054,714,9,1183
65,65,8111.32,265,1264,379,995
66,66,2587.78,1921,344,731,680
67,67,2224.86,2359,891,862,830
68,68,3859.63,2438,698,1132,876
69,69,4051.6,1527,1620,252,433
70,70,2748.17,833,1080,922,1397
71,71,4645.67,416,1629,592,644
72,72,3403.98,599,616,855,1258
73,73,2205.53,203,269,822,674
74,74,5864.31,861,1898,620,1498
75,75,10566.05,1526,1848,552,85
76,76,5522.47,1201,1920,1040,1382
77,77,7280.94,1056,714,136,298
78,78,6287.48,785,911,112,795
79,79,15823.13,1098,1707,517,1286
80,80,13716.59,200,901,696,777
81,81,3067.13,1523,1078,112,274
82,82,6264.96,1893,1534,991,585
83,83,1006.31,2490,1821,719,913
84,84,1236.39,2081,1873,867,314
85,85,4570.47,2387,335,903,1496
86,86,2336.07,712,1891,547,1404
87,87,3965.35,970,273,198,1455
88,88,1461.32,2394,1572,270,302
89,89,3642.99,342,1811,1008,379
90,90,3000.16,1102,1844,459,1273
91,91,5440.1,433,586,496,577
92,92,4315.76,2006,1072,154,717
93,93,1897.8,128,612,402,111
94,94,7758.84,843,693,582,562
95,95,3890.37,568,710,1133,406
96,96,872.63,835,1477,980,416
97,97,7541.94,369,1725,264,141
98,98,5125.61,1339,1466,703,593
99,99,10326.18,249,1580,23,3
100,100,15682.74,1213,1356,156,1202
101,101,6082.22,1162,577,617,410
102,102,5277.22,2147,255,1022,1304
103,103,13401.74,2299,1125,724,1054
104,104,3994.61,947,1614,502,4
105,105,2514.95,1721,1807,541,208
106,106,2884.58,1898,1482,302,1235
